Time(s),CH1(V)
-5.4970E-05,2.292010E-01
-5.4970E-05,2.292010E-01
-5.4970E-05,2.292010E-01
-5.4970E-05,2.333051E-01
-5.4970E-05,2.292010E-01
-5.4970E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.250970E-01
-5.4969E-05,2.250970E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4969E-05,2.292010E-01
-5.4968E-05,2.250970E-01
-5.4968E-05,2.250970E-01
-5.4968E-05,2.250970E-01
-5.4968E-05,2.168889E-01
-5.4968E-05,2.127849E-01
-5.4968E-05,2.086808E-01
-5.4968E-05,2.004727E-01
-5.4968E-05,1.922647E-01
-5.4968E-05,1.840566E-01
-5.4968E-05,1.799525E-01
-5.4967E-05,1.799525E-01
-5.4967E-05,1.676404E-01
-5.4967E-05,1.553283E-01
-5.4967E-05,1.471202E-01
-5.4967E-05,1.389121E-01
-5.4967E-05,1.307041E-01
-5.4967E-05,1.101839E-01
-5.4967E-05,8.966365E-02
-5.4967E-05,8.145557E-02
-5.4967E-05,7.324750E-02
-5.4966E-05,5.272730E-02
-5.4966E-05,3.631113E-02
-5.4966E-05,1.989498E-02
-5.4966E-05,-6.252248E-04
-5.4966E-05,-1.293735E-02
-5.4966E-05,-2.524947E-02
-5.4966E-05,-3.756158E-02
-5.4966E-05,-6.218583E-02
-5.4966E-05,-7.860199E-02
-5.4966E-05,-8.681007E-02
-5.4965E-05,-9.912219E-02
-5.4965E-05,-1.114343E-01
-5.4965E-05,-1.278505E-01
-5.4965E-05,-1.401626E-01
-5.4965E-05,-1.401626E-01
-5.4965E-05,-1.401626E-01
-5.4965E-05,-1.524747E-01
-5.4965E-05,-1.565787E-01
-5.4965E-05,-1.565787E-01
-5.4965E-05,-1.606828E-01
-5.4964E-05,-1.647868E-01
-5.4964E-05,-1.688909E-01
-5.4964E-05,-1.647868E-01
-5.4964E-05,-1.606828E-01
-5.4964E-05,-1.606828E-01
-5.4964E-05,-1.565787E-01
-5.4964E-05,-1.524747E-01
-5.4964E-05,-1.524747E-01
-5.4964E-05,-1.524747E-01
-5.4964E-05,-1.483707E-01
-5.4963E-05,-1.401626E-01
-5.4963E-05,-1.360586E-01
-5.4963E-05,-1.442666E-01
-5.4963E-05,-1.524747E-01
-5.4963E-05,-1.524747E-01
-5.4963E-05,-1.483707E-01
-5.4963E-05,-1.483707E-01
-5.4963E-05,-1.524747E-01
-5.4963E-05,-1.565787E-01
-5.4963E-05,-1.606828E-01
-5.4962E-05,-1.688909E-01
-5.4962E-05,-1.688909E-01
-5.4962E-05,-1.729949E-01
-5.4962E-05,-1.770989E-01
-5.4962E-05,-1.853070E-01
-5.4962E-05,-1.853070E-01
-5.4962E-05,-1.894111E-01
-5.4962E-05,-1.935151E-01
-5.4962E-05,-1.935151E-01
-5.4962E-05,-1.935151E-01
-5.4961E-05,-1.976192E-01
-5.4961E-05,-2.058272E-01
-5.4961E-05,-2.099313E-01
-5.4961E-05,-2.099313E-01
-5.4961E-05,-2.058272E-01
-5.4961E-05,-2.017232E-01
-5.4961E-05,-1.935151E-01
-5.4961E-05,-1.894111E-01
-5.4961E-05,-1.812030E-01
-5.4961E-05,-1.688909E-01
-5.4960E-05,-1.606828E-01
-5.4960E-05,-1.524747E-01
-5.4960E-05,-1.442666E-01
-5.4960E-05,-1.360586E-01
-5.4960E-05,-1.278505E-01
-5.4960E-05,-1.155384E-01
-5.4960E-05,-9.912219E-02
-5.4960E-05,-7.860199E-02
-5.4960E-05,-6.218583E-02
-5.4960E-05,-4.166562E-02
-5.4959E-05,-1.704139E-02
-5.4959E-05,3.478815E-03
-5.4959E-05,1.989498E-02
-5.4959E-05,3.631113E-02
-5.4959E-05,5.272730E-02
-5.4959E-05,7.324750E-02
-5.4959E-05,9.787174E-02
-5.4959E-05,1.183919E-01
-5.4959E-05,1.307041E-01
-5.4959E-05,1.430162E-01
-5.4958E-05,1.594323E-01
-5.4958E-05,1.758485E-01
-5.4958E-05,1.922647E-01
-5.4958E-05,2.004727E-01
-5.4958E-05,2.004727E-01
-5.4958E-05,2.004727E-01
-5.4958E-05,2.127849E-01
-5.4958E-05,2.209929E-01
-5.4958E-05,2.209929E-01
-5.4958E-05,2.250970E-01
