Time(s),CH1(V)
-2.4402E-06,-5.103625E-02
-2.4400E-06,-5.657068E-02
-2.4398E-06,-6.512389E-02
-2.4396E-06,-7.921153E-02
-2.4394E-06,-9.933674E-02
-2.4392E-06,-1.239901E-01
-2.4390E-06,-1.496497E-01
-2.4388E-06,-1.743031E-01
-2.4386E-06,-1.959377E-01
-2.4384E-06,-2.155598E-01
-2.4382E-06,-2.346787E-01
-2.4380E-06,-2.553070E-01
-2.4378E-06,-2.759354E-01
-2.4376E-06,-2.910293E-01
-2.4374E-06,-2.935449E-01
-2.4372E-06,-2.759354E-01
-2.4370E-06,-2.326662E-01
-2.4368E-06,-1.617249E-01
-2.4366E-06,-6.613015E-02
-2.4364E-06,4.657097E-02
-2.4362E-06,1.602784E-01
-2.4360E-06,2.538605E-01
-2.4358E-06,3.031673E-01
-2.4356E-06,2.931047E-01
-2.4354E-06,2.246790E-01
-2.4352E-06,1.220405E-01
-2.4350E-06,2.594264E-02
-2.4348E-06,-2.084845E-02
-2.4346E-06,7.829961E-03
-2.4344E-06,1.069466E-01
-2.4342E-06,2.443011E-01
-2.4340E-06,3.715930E-01
-2.4338E-06,4.490750E-01
-2.4336E-06,4.576282E-01
-2.4334E-06,4.068121E-01
-2.4332E-06,3.202737E-01
-2.4330E-06,2.276978E-01
-2.4328E-06,1.451845E-01
-2.4326E-06,7.826816E-02
-2.4324E-06,2.040821E-02
-2.4322E-06,-3.795487E-02
-2.4320E-06,-1.018524E-01
-2.4318E-06,-1.712843E-01
-2.4316E-06,-2.417225E-01
-2.4314E-06,-3.031044E-01
-2.4312E-06,-3.463736E-01
-2.4310E-06,-3.604612E-01
-2.4308E-06,-3.393297E-01
-2.4306E-06,-2.799604E-01
-2.4304E-06,-1.858751E-01
-2.4302E-06,-6.914894E-02
-2.4300E-06,5.411792E-02
-2.4298E-06,1.653097E-01
-2.4296E-06,2.478230E-01
-2.4294E-06,2.870671E-01
-2.4292E-06,2.785139E-01
-2.4290E-06,2.261884E-01
-2.4288E-06,1.441782E-01
-2.4286E-06,5.260853E-02
-2.4284E-06,-2.688601E-02
-2.4282E-06,-7.820527E-02
-2.4280E-06,-9.682108E-02
-2.4278E-06,-8.877100E-02
-2.4276E-06,-6.763954E-02
-2.4274E-06,-4.751434E-02
-2.4272E-06,-3.845800E-02
-2.4270E-06,-4.499869E-02
-2.4268E-06,-6.613015E-02
-2.4266E-06,-9.732421E-02
-2.4264E-06,-1.325433E-01
-2.4262E-06,-1.672593E-01
-2.4260E-06,-1.974471E-01
-2.4258E-06,-2.205911E-01
-2.4256E-06,-2.392069E-01
