Time(s),CH1(V),CH2(V),CH3(V),CH4(V)
-1.9944E-04,-2.478760E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-3.807152E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-5.135544E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.587960E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.077041E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.179224E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.792328E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.077041E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-4.931176E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-3.500601E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-2.989680E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-2.478760E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.416323E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,9.954957E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,1.199864E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,1.404232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,9.954957E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,5.867597E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,7.583969E-04,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-4.350803E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-1.967840E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-3.500601E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-4.931176E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-7.587960E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-8.814169E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-9.631640E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-1.044911E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9944E-04,-1.065348E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-1.085785E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-1.004038E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-9.222905E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-7.894512E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-4.726809E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-2.887496E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-1.354736E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.780237E-03,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.404232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,2.630440E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,5.082856E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,7.535272E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,9.681136E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.182700E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.346194E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.509689E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.499470E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.489252E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.458597E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.427942E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.366631E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.305321E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.203137E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.100953E-01,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,8.761480E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,6.513432E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,3.958832E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,1.404232E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-1.048184E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-3.500601E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-4.318072E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-5.135544E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-5.237728E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-5.339912E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.157384E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.974857E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.770489E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.566121E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.463937E-02,4.757636E-01,4.804238E-01,4.602837E-01
-1.9943E-04,-6.361753E-02,4.757636E-01,4.804238E-01,4.602837E-01
