LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,19-Jun-2025 15:10:30,0                 
Time,Ampl
-5.91169821e-006,0.000377604
-5.91164821e-006,0.000302734
-5.91159821e-006,0.000212809
-5.91154821e-006,0.000122884
-5.91149821e-006,4.5166e-005
-5.91144821e-006,1.2207e-006
-5.91139821e-006,-8.95182e-006
-5.91134821e-006,3.66211e-006
-5.91129821e-006,3.33659e-005
-5.91124821e-006,5.65592e-005
-5.91119821e-006,4.84212e-005
-5.91114821e-006,1.26139e-005
-5.91109821e-006,-3.54004e-005
-5.91104821e-006,-7.52767e-005
-5.91099821e-006,-0.000104167
-5.91094821e-006,-0.000117188
-5.91089821e-006,-0.000102132
-5.91084821e-006,-6.63249e-005
-5.91079821e-006,-1.87174e-005
-5.91074821e-006,4.43522e-005
-5.91069821e-006,0.000117188
-5.91064821e-006,0.000195312
-5.91059821e-006,0.000279948
-5.91054821e-006,0.000361735
-5.91049821e-006,0.000432536
-5.91044821e-006,0.000485026
-5.91039821e-006,0.000519206
-5.91034821e-006,0.000552979
-5.91029821e-006,0.000594076
-5.91024821e-006,0.000651042
-5.91019821e-006,0.000714518
-5.91014821e-006,0.000742594
-5.91009821e-006,0.000706787
-5.91004821e-006,0.00061849
-5.90999821e-006,0.000502116
-5.90994821e-006,0.000371501
-5.90989821e-006,0.000225423
-5.90984821e-006,8.50423e-005
-5.90979821e-006,-9.35872e-006
-5.90974821e-006,-4.96419e-005
-5.90969821e-006,-5.69661e-005
-5.90964821e-006,-5.24902e-005
-5.90959821e-006,-4.43522e-005
-5.90954821e-006,-2.68555e-005
-5.90949821e-006,-1.38346e-005
-5.90944821e-006,-1.46484e-005
-5.90939821e-006,-2.19727e-005
-5.90934821e-006,-3.13314e-005
-5.90929821e-006,-3.49935e-005
-5.90924821e-006,-3.54004e-005
-5.90919821e-006,-3.37728e-005
-5.90914821e-006,-1.30208e-005
-5.90909821e-006,2.68555e-005
-5.90904821e-006,6.91732e-005
-5.90899821e-006,0.000100098
-5.90894821e-006,0.000106201
-5.90889821e-006,8.91113e-005
-5.90884821e-006,7.36491e-005
-5.90879821e-006,8.01595e-005
-5.90874821e-006,0.000106201
-5.90869821e-006,0.000137126
-5.90864821e-006,0.000169271
-5.90859821e-006,0.000196126
-5.90854821e-006,0.000215251
-5.90849821e-006,0.00023641
-5.90844821e-006,0.000245768
-5.90839821e-006,0.000224609
-5.90834821e-006,0.000174154
-5.90829821e-006,0.000113932
-5.90824821e-006,6.51042e-005
-5.90819821e-006,1.2207e-005
-5.90814821e-006,-5.57454e-005
-5.90809821e-006,-0.000128174
-5.90804821e-006,-0.000203451
-5.90799821e-006,-0.000276286
-5.90794821e-006,-0.000325521
-5.90789821e-006,-0.000331624
-5.90784821e-006,-0.000297445
-5.90779821e-006,-0.000254313
-5.90774821e-006,-0.000225016
-5.90769821e-006,-0.000194092
-5.90764821e-006,-0.000146077
-5.90759821e-006,-7.93457e-005
