Time,Ampl
-0.0003154204,0.000660468
-0.0003154004,-0.001
-0.0003153804,-0.00432094
-0.0003153604,-0.0059814
-0.0003153404,-0.00764187
-0.0003153204,-0.00764187
-0.0003153004,-0.00930234
-0.0003152804,-0.0059814
-0.0003152604,-0.00432094
-0.0003152404,-0.001
-0.0003152204,-0.001
-0.0003152004,0.0039814
-0.0003151804,0.0106233
-0.0003151604,0.0156047
-0.0003151404,0.0222465
-0.0003151204,0.0288884
-0.0003151004,0.0338698
-0.0003150804,0.0371908
-0.0003150604,0.0421722
-0.0003150404,0.0438326
-0.0003150204,0.0438326
-0.0003150004,0.0421722
-0.0003149804,0.0421722
-0.0003149604,0.0388512
-0.0003149404,0.0338698
-0.0003149204,0.0338698
-0.0003149004,0.0305489
-0.0003148804,0.0222465
-0.0003148604,0.0222465
-0.0003148404,0.0205861
-0.0003148204,0.0189256
-0.0003148004,0.0222465
-0.0003147804,0.0222465
-0.0003147604,0.023907
-0.0003147404,0.0255675
-0.0003147204,0.0322094
-0.0003147004,0.0322094
-0.0003146804,0.0371908
-0.0003146604,0.0405117
-0.0003146404,0.0438326
-0.0003146204,0.0405117
-0.0003146004,0.0355303
-0.0003145804,0.0355303
-0.0003145604,0.0322094
-0.0003145404,0.0222465
-0.0003145204,0.0122837
-0.0003145004,0.00232094
-0.0003144804,-0.00432094
-0.0003144604,-0.0126233
-0.0003144404,-0.0142837
-0.0003144204,-0.0192651
-0.0003144004,-0.0192651
-0.0003143804,-0.0242465
-0.0003143604,-0.0242465
-0.0003143404,-0.025907
-0.0003143204,-0.0242465
-0.0003143004,-0.0242465
-0.0003142804,-0.0242465
-0.0003142604,-0.0225861
-0.0003142404,-0.0209256
-0.0003142204,-0.0242465
-0.0003142004,-0.0242465
-0.0003141804,-0.0225861
-0.0003141604,-0.0242465
-0.0003141404,-0.0242465
-0.0003141204,-0.0225861
-0.0003141004,-0.0242465
-0.0003140804,-0.0225861
-0.0003140604,-0.025907
-0.0003140404,-0.0242465
-0.0003140204,-0.0275675
-0.0003140004,-0.0242465
-0.0003139804,-0.0242465
-0.0003139604,-0.025907
-0.0003139404,-0.0209256
-0.0003139204,-0.0209256
-0.0003139004,-0.0242465
-0.0003138804,-0.0225861
-0.0003138604,-0.0209256
-0.0003138404,-0.0209256
-0.0003138204,-0.0225861
-0.0003138004,-0.0209256
-0.0003137804,-0.0225861
-0.0003137604,-0.0192651
-0.0003137404,-0.0242465
-0.0003137204,-0.0225861
-0.0003137004,-0.0209256
-0.0003136804,-0.0209256
-0.0003136604,-0.0225861
-0.0003136404,-0.0209256
-0.0003136204,-0.0209256
-0.0003136004,-0.0176047
-0.0003135804,-0.0225861
-0.0003135604,-0.0159442
-0.0003135404,-0.0176047
-0.0003135204,-0.0176047
-0.0003135004,-0.0209256
-0.0003134804,-0.0159442
-0.0003134604,-0.0176047
-0.0003134404,-0.0176047
-0.0003134204,-0.0192651
-0.0003134004,-0.0142837
-0.0003133804,-0.0142837
-0.0003133604,-0.0126233
-0.0003133404,-0.0159442
-0.0003133204,-0.0126233
-0.0003133004,-0.00930234
-0.0003132804,-0.0109628
-0.0003132604,-0.0126233
-0.0003132404,-0.0109628
-0.0003132204,-0.0109628
-0.0003132004,-0.00930234
-0.0003131804,-0.0126233
-0.0003131604,-0.00764187
-0.0003131404,-0.00930234
-0.0003131204,-0.00764187
-0.0003131004,-0.00764187
-0.0003130804,-0.00764187
-0.0003130604,-0.0059814
-0.0003130404,-0.00432094
-0.0003130204,-0.00930234
-0.0003130004,-0.00764187
-0.0003129804,-0.00764187
-0.0003129604,-0.00432094
-0.0003129404,-0.00930234
-0.0003129204,-0.00764187
-0.0003129004,-0.0059814
-0.0003128804,-0.0059814
-0.0003128604,-0.00266047
-0.0003128404,-0.00764187
-0.0003128204,-0.00266047
-0.0003128004,-0.00432094
-0.0003127804,-0.0059814
-0.0003127604,-0.00432094
-0.0003127404,-0.00432094
-0.0003127204,-0.00432094
-0.0003127004,-0.0059814
-0.0003126804,-0.0059814
-0.0003126604,-0.0059814
-0.0003126404,-0.00432094
-0.0003126204,-0.0059814
-0.0003126004,-0.001
-0.0003125804,-0.00266047
-0.0003125604,-0.00432094
-0.0003125404,-0.00432094
-0.0003125204,-0.0059814
-0.0003125004,-0.00764187
-0.0003124804,-0.00432094
-0.0003124604,-0.00764187
-0.0003124404,-0.0059814
-0.0003124204,-0.00764187
-0.0003124004,-0.00764187
-0.0003123804,-0.00930234
-0.0003123604,-0.0059814
-0.0003123404,-0.0059814
-0.0003123204,-0.0059814
-0.0003123004,-0.00266047
-0.0003122804,0.0039814
-0.0003122604,0.00564187
-0.0003122404,0.00730234
-0.0003122204,0.00896281
-0.0003122004,0.0106233
-0.0003121804,0.00564187
-0.0003121604,0.00896281
-0.0003121404,0.00896281
-0.0003121204,0.00896281
-0.0003121004,0.00896281
-0.0003120804,0.00730234
-0.0003120604,0.00896281
-0.0003120404,0.00730234
-0.0003120204,0.00896281
-0.0003120004,0.00896281
-0.0003119804,0.00896281
-0.0003119604,0.0122837
-0.0003119404,0.0122837
-0.0003119204,0.0106233
-0.0003119004,0.00896281
-0.0003118804,0.00896281
-0.0003118604,0.0106233
-0.0003118404,0.0122837
-0.0003118204,0.0139442
-0.0003118004,0.0189256
-0.0003117804,0.0222465
-0.0003117604,0.0272279
-0.0003117404,0.0305489
-0.0003117204,0.0338698
-0.0003117004,0.0421722
-0.0003116804,0.0438326
-0.0003116604,0.0421722
-0.0003116404,0.0454931
-0.0003116204,0.0438326
-0.0003116004,0.0454931
-0.0003115804,0.0405117
-0.0003115604,0.0388512
-0.0003115404,0.0388512
-0.0003115204,0.0355303
-0.0003115004,0.0305489
-0.0003114804,0.0288884
-0.0003114604,0.0288884
-0.0003114404,0.023907
-0.0003114204,0.023907
-0.0003114004,0.023907
-0.0003113804,0.0255675
-0.0003113604,0.0322094
-0.0003113404,0.0322094
-0.0003113204,0.0338698
-0.0003113004,0.0371908
-0.0003112804,0.0388512
-0.0003112604,0.0405117
-0.0003112404,0.0405117
-0.0003112204,0.0388512
-0.0003112004,0.0355303
-0.0003111804,0.0288884
-0.0003111604,0.0222465
-0.0003111404,0.0156047
-0.0003111204,0.00564187
-0.0003111004,-0.00432094
-0.0003110804,-0.0109628
-0.0003110604,-0.0126233
-0.0003110404,-0.0192651
-0.0003110204,-0.0242465
-0.0003110004,-0.0209256
-0.0003109804,-0.025907
-0.0003109604,-0.0242465
-0.0003109404,-0.0242465
-0.0003109204,-0.0275675
-0.0003109004,-0.0275675
-0.0003108804,-0.025907
-0.0003108604,-0.025907
-0.0003108404,-0.025907
-0.0003108204,-0.0275675
-0.0003108004,-0.0275675
-0.0003107804,-0.0242465
-0.0003107604,-0.0225861
-0.0003107404,-0.0242465
-0.0003107204,-0.0209256
-0.0003107004,-0.0209256
-0.0003106804,-0.0176047
-0.0003106604,-0.0176047
-0.0003106404,-0.0159442
-0.0003106204,-0.0176047
-0.0003106004,-0.0159442
-0.0003105804,-0.0142837
-0.0003105604,-0.0159442
-0.0003105404,-0.0192651
-0.0003105204,-0.0192651
-0.0003105004,-0.0176047
-0.0003104804,-0.0176047
-0.0003104604,-0.0225861
-0.0003104404,-0.0209256
-0.0003104204,-0.0209256
-0.0003104004,-0.0192651
-0.0003103804,-0.0225861
-0.0003103604,-0.0209256
-0.0003103404,-0.0209256
-0.0003103204,-0.0176047
-0.0003103004,-0.0242465
-0.0003102804,-0.0209256
-0.0003102604,-0.0192651
-0.0003102404,-0.0176047
-0.0003102204,-0.0209256
-0.0003102004,-0.0192651
-0.0003101804,-0.0209256
-0.0003101604,-0.0176047
-0.0003101404,-0.0192651
-0.0003101204,-0.0192651
-0.0003101004,-0.0159442
-0.0003100804,-0.0142837
-0.0003100604,-0.0159442
-0.0003100404,-0.0142837
-0.0003100204,-0.0142837
-0.0003100004,-0.0109628
-0.0003099804,-0.0142837
-0.0003099604,-0.00930234
-0.0003099404,-0.0142837
-0.0003099204,-0.0126233
-0.0003099004,-0.0159442
-0.0003098804,-0.0159442
-0.0003098604,-0.0142837
-0.0003098404,-0.0109628
-0.0003098204,-0.0159442
-0.0003098004,-0.0142837
-0.0003097804,-0.0142837
-0.0003097604,-0.0142837
-0.0003097404,-0.0192651
-0.0003097204,-0.0176047
-0.0003097004,-0.0159442
-0.0003096804,-0.0176047
-0.0003096604,-0.0192651
-0.0003096404,-0.0159442
-0.0003096204,-0.0159442
-0.0003096004,-0.0142837
-0.0003095804,-0.0126233
-0.0003095604,-0.0109628
-0.0003095404,-0.00930234
-0.0003095204,-0.00930234
-0.0003095004,-0.00764187
-0.0003094804,-0.00764187
-0.0003094604,-0.00764187
-0.0003094404,-0.00432094
-0.0003094204,-0.0059814
-0.0003094004,-0.00764187
-0.0003093804,-0.00764187
-0.0003093604,-0.0059814
-0.0003093404,-0.00432094
-0.0003093204,-0.0059814
-0.0003093004,-0.00432094
-0.0003092804,-0.00432094
-0.0003092604,-0.0059814
-0.0003092404,-0.00266047
-0.0003092204,-0.00432094
-0.0003092004,-0.00432094
-0.0003091804,-0.00266047
-0.0003091604,0.000660468
-0.0003091404,0.000660468
-0.0003091204,0.000660468
-0.0003091004,-0.001
-0.0003090804,-0.001
-0.0003090604,-0.00432094
-0.0003090404,-0.0059814
-0.0003090204,-0.00432094
-0.0003090004,-0.00432094
-0.0003089804,-0.001
-0.0003089604,-0.001
-0.0003089404,0.000660468
-0.0003089204,0.000660468
-0.0003089004,0.00232094
-0.0003088804,0.00232094
-0.0003088604,0.00564187
-0.0003088404,0.00232094
-0.0003088204,0.00232094
-0.0003088004,0.0039814
-0.0003087804,0.000660468
-0.0003087604,-0.00266047
-0.0003087404,-0.001
-0.0003087204,-0.00432094
-0.0003087004,-0.00266047
-0.0003086804,-0.0059814
-0.0003086604,-0.0059814
-0.0003086404,-0.00432094
-0.0003086204,-0.00432094
-0.0003086004,-0.00432094
-0.0003085804,-0.00266047
-0.0003085604,0.00232094
-0.0003085404,0.00564187
-0.0003085204,0.00564187
-0.0003085004,0.00896281
-0.0003084804,0.0139442
-0.0003084604,0.0172651
-0.0003084404,0.0205861
-0.0003084204,0.0255675
-0.0003084004,0.0305489
-0.0003083804,0.0338698
-0.0003083604,0.0388512
-0.0003083404,0.0421722
-0.0003083204,0.0438326
-0.0003083004,0.0454931
-0.0003082804,0.0471536
-0.0003082604,0.0454931
-0.0003082404,0.0438326
-0.0003082204,0.0388512
-0.0003082004,0.0388512
-0.0003081804,0.0371908
-0.0003081604,0.0371908
-0.0003081404,0.0322094
-0.0003081204,0.0288884
-0.0003081004,0.023907
-0.0003080804,0.0255675
-0.0003080604,0.0255675
-0.0003080404,0.0255675
-0.0003080204,0.0255675
-0.0003080004,0.0272279
-0.0003079804,0.0272279
-0.0003079604,0.0305489
-0.0003079404,0.0338698
-0.0003079204,0.0371908
-0.0003079004,0.0388512
-0.0003078804,0.0421722
-0.0003078604,0.0405117
-0.0003078404,0.0405117
-0.0003078204,0.0371908
-0.0003078004,0.0371908
-0.0003077804,0.0288884
-0.0003077604,0.0205861
-0.0003077404,0.00896281
-0.0003077204,0.0039814
-0.0003077004,-0.00432094
-0.0003076804,-0.00930234
-0.0003076604,-0.0159442
-0.0003076404,-0.0176047
-0.0003076204,-0.0209256
-0.0003076004,-0.0242465
-0.0003075804,-0.025907
-0.0003075604,-0.0242465
-0.0003075404,-0.0292279
-0.0003075204,-0.0275675
-0.0003075004,-0.0275675
-0.0003074804,-0.0275675
-0.0003074604,-0.0242465
-0.0003074404,-0.0275675
-0.0003074204,-0.0275675
-0.0003074004,-0.0275675
-0.0003073804,-0.0242465
-0.0003073604,-0.0225861
-0.0003073404,-0.0242465
-0.0003073204,-0.0225861
-0.0003073004,-0.0209256
-0.0003072804,-0.0209256
-0.0003072604,-0.0242465
-0.0003072404,-0.0209256
-0.0003072204,-0.0209256
-0.0003072004,-0.0192651
-0.0003071804,-0.0242465
-0.0003071604,-0.0192651
-0.0003071404,-0.0209256
-0.0003071204,-0.0209256
-0.0003071004,-0.0225861
-0.0003070804,-0.0225861
-0.0003070604,-0.0192651
-0.0003070404,-0.0209256
-0.0003070204,-0.0225861
-0.0003070004,-0.0192651
-0.0003069804,-0.0192651
-0.0003069604,-0.0176047
-0.0003069404,-0.0159442
-0.0003069204,-0.0142837
-0.0003069004,-0.0126233
-0.0003068804,-0.0126233
-0.0003068604,-0.0109628
-0.0003068404,-0.00764187
-0.0003068204,-0.0109628
-0.0003068004,-0.00764187
-0.0003067804,-0.00764187
-0.0003067604,-0.00764187
-0.0003067404,-0.00930234
-0.0003067204,-0.00930234
-0.0003067004,-0.0126233
-0.0003066804,-0.00930234
-0.0003066604,-0.00930234
-0.0003066404,-0.00930234
-0.0003066204,-0.00764187
-0.0003066004,-0.00930234
-0.0003065804,-0.00764187
-0.0003065604,-0.00764187
-0.0003065404,-0.0059814
-0.0003065204,-0.0059814
-0.0003065004,-0.00432094
-0.0003064804,-0.00432094
-0.0003064604,-0.0059814
-0.0003064404,-0.00432094
-0.0003064204,-0.0059814
-0.0003064004,-0.00432094
-0.0003063804,-0.00432094
-0.0003063604,-0.0059814
-0.0003063404,-0.00764187
-0.0003063204,-0.00432094
-0.0003063004,-0.0059814
-0.0003062804,-0.00432094
-0.0003062604,-0.0059814
-0.0003062404,-0.00432094
-0.0003062204,-0.00432094
-0.0003062004,-0.00266047
-0.0003061804,-0.0059814
-0.0003061604,-0.00432094
-0.0003061404,-0.00432094
-0.0003061204,-0.00432094
-0.0003061004,-0.00432094
-0.0003060804,-0.001
-0.0003060604,-0.00432094
-0.0003060404,0.000660468
-0.0003060204,-0.00432094
-0.0003060004,-0.00432094
-0.0003059804,-0.0059814
-0.0003059604,-0.00432094
-0.0003059404,-0.00432094
-0.0003059204,-0.00432094
-0.0003059004,-0.0059814
-0.0003058804,-0.00432094
-0.0003058604,-0.001
-0.0003058404,0.000660468
-0.0003058204,-0.001
-0.0003058004,-0.001
-0.0003057804,0.000660468
-0.0003057604,-0.001
-0.0003057404,-0.001
-0.0003057204,-0.00266047
-0.0003057004,-0.00432094
-0.0003056804,-0.001
-0.0003056604,-0.00266047
-0.0003056404,-0.00432094
-0.0003056204,-0.00764187
-0.0003056004,-0.0059814
-0.0003055804,-0.00764187
-0.0003055604,-0.00432094
-0.0003055404,-0.00432094
-0.0003055204,-0.00432094
-0.0003055004,-0.0059814
-0.0003054804,-0.00764187
-0.0003054604,-0.00764187
-0.0003054404,-0.00432094
-0.0003054204,-0.00432094
-0.0003054004,-0.00432094
-0.0003053804,-0.00266047
-0.0003053604,-0.00432094
-0.0003053404,-0.00432094
-0.0003053204,-0.00432094
-0.0003053004,-0.00432094
-0.0003052804,-0.00266047
-0.0003052604,-0.00266047
-0.0003052404,-0.00432094
-0.0003052204,-0.00432094
-0.0003052004,-0.00432094
-0.0003051804,-0.0059814
-0.0003051604,-0.00266047
-0.0003051404,-0.00266047
-0.0003051204,0.00232094
-0.0003051004,0.00564187
-0.0003050804,0.00564187
-0.0003050604,0.0122837
-0.0003050404,0.0139442
-0.0003050204,0.0156047
-0.0003050004,0.0222465
-0.0003049804,0.0322094
-0.0003049604,0.0355303
-0.0003049404,0.0371908
-0.0003049204,0.0438326
-0.0003049004,0.0454931
-0.0003048804,0.048814
-0.0003048604,0.0421722
-0.0003048404,0.048814
-0.0003048204,0.0438326
-0.0003048004,0.0405117
-0.0003047804,0.0388512
-0.0003047604,0.0322094
-0.0003047404,0.0272279
-0.0003047204,0.0272279
-0.0003047004,0.023907
-0.0003046804,0.023907
-0.0003046604,0.0222465
-0.0003046404,0.0255675
-0.0003046204,0.0255675
-0.0003046004,0.0288884
-0.0003045804,0.0288884
-0.0003045604,0.0322094
-0.0003045404,0.0355303
-0.0003045204,0.0405117
-0.0003045004,0.0421722
-0.0003044804,0.0438326
-0.0003044604,0.0405117
-0.0003044404,0.0405117
-0.0003044204,0.0388512
-0.0003044004,0.0305489
-0.0003043804,0.0222465
-0.0003043604,0.0106233
-0.0003043404,0.0039814
-0.0003043204,-0.00266047
-0.0003043004,-0.0142837
-0.0003042804,-0.0159442
-0.0003042604,-0.0192651
-0.0003042404,-0.0225861
-0.0003042204,-0.025907
-0.0003042004,-0.0242465
-0.0003041804,-0.0292279
-0.0003041604,-0.025907
-0.0003041404,-0.0275675
-0.0003041204,-0.0275675
-0.0003041004,-0.0275675
-0.0003040804,-0.0225861
-0.0003040604,-0.0242465
-0.0003040404,-0.0225861
-0.0003040204,-0.0225861
-0.0003040004,-0.0225861
-0.0003039804,-0.0242465
-0.0003039604,-0.0242465
-0.0003039404,-0.0225861
-0.0003039204,-0.0242465
-0.0003039004,-0.0242465
-0.0003038804,-0.025907
-0.0003038604,-0.0242465
-0.0003038404,-0.0242465
-0.0003038204,-0.0242465
-0.0003038004,-0.0225861
-0.0003037804,-0.0242465
-0.0003037604,-0.0209256
-0.0003037404,-0.0209256
-0.0003037204,-0.0176047
-0.0003037004,-0.0159442
-0.0003036804,-0.0142837
-0.0003036604,-0.0176047
-0.0003036404,-0.0176047
-0.0003036204,-0.0159442
-0.0003036004,-0.0126233
-0.0003035804,-0.0176047
-0.0003035604,-0.0142837
-0.0003035404,-0.0142837
-0.0003035204,-0.00930234
-0.0003035004,-0.0126233
-0.0003034804,-0.00930234
-0.0003034604,-0.00930234
-0.0003034404,-0.00764187
-0.0003034204,-0.00930234
-0.0003034004,-0.00764187
